air_inflow,air_end_temp,out_pressure,motor_current,motor_rpm,motor_temp,motor_vibe,type
1.39,38.38,0.7,17.97,1470.0,56.33,2.82,4
2.35,51.06,0.7,30.37,2485.0,67.61,3.38,4
1.74,43.0,0.7,22.49,1840.0,60.44,3.02,4
2.4,51.8,0.7,31.09,2544.0,68.27,3.41,4
1.45,39.25,0.7,18.82,1540.0,57.11,2.86,4
1.41,38.71,0.7,18.3,1497.0,56.63,2.83,4
2.96,59.18,0.7,38.3,3134.0,74.82,3.74,4
1.55,40.55,0.7,20.09,1644.0,58.27,2.91,4
3.36,64.41,0.7,43.43,3553.0,79.48,3.97,4
3.31,63.8,0.7,42.83,3504.0,78.93,3.95,4
3.28,63.4,0.7,42.44,3472.0,78.58,3.93,4
2.31,50.55,0.7,29.87,2444.0,67.16,3.36,4
1.53,40.3,0.7,19.85,1624.0,58.04,2.9,4
1.69,42.41,0.7,21.91,1793.0,59.92,3.0,4
2.95,59.04,0.7,38.17,3123.0,74.7,3.74,4
2.6,54.38,0.7,33.61,2750.0,70.56,3.53,4
1.29,37.05,0.7,16.67,1364.0,55.16,2.76,4
2.72,55.96,0.7,35.16,2877.0,71.97,3.6,4
1.75,43.2,0.7,22.68,1856.0,60.62,3.03,4
1.4,38.51,0.7,18.1,1481.0,56.46,2.82,4
3.19,62.21,0.7,41.27,3377.0,77.52,3.88,4
2.08,47.51,0.7,26.9,2201.0,64.46,3.22,4
2.64,54.9,0.7,34.12,2792.0,71.02,3.55,4
1.85,44.51,0.7,23.97,1961.0,61.79,3.09,4
1.53,40.23,0.7,19.78,1618.0,57.98,2.9,4
1.99,46.39,0.7,25.8,2111.0,63.46,3.17,4
3.02,59.96,0.7,39.07,3197.0,75.52,3.78,4
3.31,63.76,0.7,42.79,3501.0,78.9,3.95,4
2.96,59.2,0.7,38.33,3136.0,74.84,3.74,4
2.35,51.1,0.7,30.41,2488.0,67.64,3.38,4
1.46,39.36,0.7,18.93,1549.0,57.21,2.86,4
2.21,49.19,0.7,28.54,2335.0,65.94,3.3,4
1.83,44.28,0.7,23.74,1942.0,61.58,3.08,4
2.88,58.13,0.7,37.28,3050.0,73.89,3.69,4
2.13,48.14,0.7,27.51,2251.0,65.01,3.25,4
2.69,55.64,0.7,34.85,2851.0,71.68,3.58,4
1.78,43.58,0.7,23.05,1886.0,60.96,3.05,4
2.94,58.96,0.7,38.1,3117.0,74.63,3.73,4
1.99,46.38,0.7,25.79,2110.0,63.44,3.17,4
2.26,49.9,0.7,29.24,2392.0,66.58,3.33,4
3.15,61.73,0.7,40.8,3338.0,77.09,3.85,4
2.91,58.46,0.7,37.61,3077.0,74.19,3.71,4
1.75,43.11,0.7,22.6,1849.0,60.54,3.03,4
1.68,42.26,0.7,21.77,1781.0,59.79,2.99,4
1.87,44.74,0.7,24.19,1979.0,61.99,3.1,4
1.68,42.21,0.7,21.72,1777.0,59.74,2.99,4
2.08,47.58,0.7,26.96,2206.0,64.51,3.23,4
1.75,43.15,0.7,22.64,1852.0,60.58,3.03,4
2.12,48.0,0.7,27.38,2240.0,64.89,3.24,4
2.46,52.59,0.7,31.86,2607.0,68.97,3.45,4
2.06,47.24,0.7,26.63,2179.0,64.21,3.21,4
1.26,36.65,0.7,16.28,1332.0,54.8,2.74,4
2.47,52.68,0.7,31.95,2614.0,69.04,3.45,4
2.95,59.1,0.7,38.23,3128.0,74.76,3.74,4
3.15,61.64,0.7,40.71,3331.0,77.01,3.85,4
1.16,35.33,0.7,14.98,1226.0,53.62,2.68,4
2.62,54.74,0.7,33.97,2779.0,70.88,3.54,4
1.5,39.89,0.7,19.45,1591.0,57.68,2.88,4
3.27,63.29,0.7,42.33,3463.0,78.48,3.92,4
1.76,43.3,0.7,22.78,1864.0,60.71,3.04,4
2.21,49.29,0.7,28.64,2343.0,66.03,3.3,4
1.74,43.09,0.7,22.57,1847.0,60.52,3.03,4
2.22,49.33,0.7,28.67,2346.0,66.07,3.3,4
3.02,60.03,0.7,39.14,3202.0,75.58,3.78,4
2.2,49.13,0.7,28.48,2330.0,65.89,3.29,4
2.94,58.93,0.7,38.06,3114.0,74.6,3.73,4
3.25,62.95,0.7,42.0,3436.0,78.18,3.91,4
2.27,50.01,0.7,29.35,2401.0,66.68,3.33,4
1.44,39.03,0.7,18.6,1522.0,56.91,2.85,4
2.43,52.18,0.7,31.46,2574.0,68.6,3.43,4
1.44,39.1,0.7,18.68,1528.0,56.98,2.85,4
2.03,46.84,0.7,26.24,2147.0,63.86,3.19,4
2.75,56.45,0.7,35.64,2916.0,72.4,3.62,4
2.49,52.91,0.7,32.18,2633.0,69.26,3.46,4
3.0,59.65,0.7,38.77,3172.0,75.24,3.76,4
1.3,37.25,0.7,16.87,1380.0,55.33,2.77,4
1.72,42.74,0.7,22.23,1819.0,60.21,3.01,4
3.33,64.08,0.7,43.1,3526.0,79.18,3.96,4
3.17,62.01,0.7,41.08,3361.0,77.34,3.87,4
1.22,36.2,0.7,15.84,1296.0,54.4,2.72,4
1.62,41.4,0.7,20.92,1712.0,59.02,2.95,4
2.01,46.6,0.7,26.01,2128.0,63.64,3.18,4
1.4,38.48,0.7,18.06,1478.0,56.42,2.82,4
2.83,57.48,0.7,36.64,2998.0,73.31,3.67,4
2.2,49.11,0.7,28.47,2329.0,65.88,3.29,4
2.42,51.98,0.7,31.26,2558.0,68.42,3.42,4
1.78,43.5,0.7,22.98,1880.0,60.89,3.04,4
2.69,55.61,0.7,34.82,2849.0,71.66,3.58,4
2.9,58.34,0.7,37.49,3067.0,74.08,3.7,4
3.02,59.99,0.7,39.1,3199.0,75.54,3.78,4
2.12,48.03,0.7,27.4,2242.0,64.91,3.25,4
2.18,48.89,0.7,28.25,2311.0,65.68,3.28,4
1.34,37.68,0.7,17.28,1414.0,55.71,2.79,4
1.38,38.2,0.7,17.8,1456.0,56.18,2.81,4
1.86,44.56,0.7,24.02,1965.0,61.83,3.09,4
2.23,49.55,0.7,28.89,2364.0,66.27,3.31,4
2.03,46.9,0.7,26.3,2152.0,63.91,3.2,4
3.1,61.09,0.7,40.17,3287.0,76.52,3.83,4
1.34,37.7,0.7,17.31,1416.0,55.73,2.79,4
1.24,36.38,0.7,16.01,1310.0,54.56,2.73,4
1.37,38.1,0.7,17.7,1448.0,56.09,2.8,4
3.07,60.65,0.7,39.75,3252.0,76.13,3.81,4
1.21,35.98,0.7,15.62,1278.0,54.2,2.71,4
2.46,52.56,0.7,31.84,2605.0,68.94,3.45,4
1.53,40.25,0.7,19.8,1620.0,58.0,2.9,4
1.33,37.66,0.7,17.27,1413.0,55.7,2.79,4
1.74,42.99,0.7,22.48,1839.0,60.43,3.02,4
2.84,57.54,0.7,36.7,3003.0,73.37,3.67,4
2.15,48.45,0.7,27.82,2276.0,65.29,3.26,4
1.66,42.01,0.7,21.52,1761.0,59.57,2.98,4
2.29,50.35,0.7,29.68,2428.0,66.98,3.35,4
2.38,51.49,0.7,30.79,2519.0,67.99,3.4,4
3.07,60.58,0.7,39.67,3246.0,76.07,3.8,4
1.28,36.93,0.7,16.55,1354.0,55.04,2.75,4
1.28,36.96,0.7,16.59,1357.0,55.08,2.75,4
2.56,53.9,0.7,33.15,2712.0,70.13,3.51,4
2.23,49.45,0.7,28.8,2356.0,66.18,3.31,4
1.63,41.54,0.7,21.06,1723.0,59.14,2.96,4
1.54,40.43,0.7,19.97,1634.0,58.16,2.91,4
3.08,60.8,0.7,39.89,3264.0,76.27,3.81,4
1.96,45.89,0.7,25.31,2071.0,63.01,3.15,4
2.58,54.19,0.7,33.43,2735.0,70.39,3.52,4
2.08,47.5,0.7,26.89,2200.0,64.44,3.22,4
2.28,50.24,0.7,29.57,2419.0,66.88,3.34,4
3.18,62.13,0.7,41.19,3370.0,77.44,3.87,4
1.78,43.51,0.7,22.99,1881.0,60.9,3.05,4
2.67,55.3,0.7,34.52,2824.0,71.38,3.57,4
1.46,39.39,0.7,18.96,1551.0,57.23,2.86,4
2.28,50.18,0.7,29.5,2414.0,66.82,3.34,4
1.54,40.38,0.7,19.92,1630.0,58.11,2.91,4
2.75,56.34,0.7,35.53,2907.0,72.3,3.62,4
1.68,42.3,0.7,21.8,1784.0,59.82,2.99,4
1.23,36.31,0.7,15.95,1305.0,54.5,2.73,4
1.43,38.86,0.7,18.44,1509.0,56.77,2.84,4
2.99,59.64,0.7,38.76,3171.0,75.23,3.76,4
2.63,54.76,0.7,33.99,2781.0,70.9,3.55,5
2.88,58.09,0.7,37.24,3047.0,73.86,3.69,5
3.18,62.03,0.7,41.09,3362.0,77.36,3.87,5
2.04,46.94,0.7,26.34,2155.0,63.94,3.2,5
1.47,39.41,0.7,18.98,1553.0,57.26,2.86,5
1.15,35.26,0.7,14.92,1221.0,53.57,2.68,5
1.19,35.75,0.7,15.4,1260.0,54.0,2.7,5
2.05,47.09,0.7,26.49,2167.0,64.08,3.2,5
3.21,62.43,0.7,41.48,3394.0,77.71,3.89,5
3.35,64.39,0.7,43.4,3551.0,79.46,3.97,5
2.72,55.95,0.7,35.15,2876.0,71.96,3.6,5
2.56,53.86,0.7,33.11,2709.0,70.1,3.51,5
2.16,48.63,0.7,27.99,2290.0,65.44,3.27,5
3.35,64.28,0.7,43.29,3542.0,79.36,3.97,5
1.17,35.55,0.7,15.2,1244.0,53.82,2.69,5
2.89,58.23,0.7,37.38,3058.0,73.98,3.7,5
2.31,50.61,0.7,29.93,2449.0,67.21,3.36,5
1.81,43.98,0.7,23.44,1918.0,61.31,3.07,5
2.99,59.54,0.7,38.66,3163.0,75.14,3.76,5
1.36,38.03,0.7,17.62,1442.0,56.02,2.8,5
2.09,47.63,0.7,27.01,2210.0,64.56,3.23,5
1.74,42.98,0.7,22.46,1838.0,60.42,3.02,5
1.4,38.5,0.7,18.09,1480.0,56.44,2.82,5
2.68,55.45,0.7,34.66,2836.0,71.51,3.58,5
2.77,56.69,0.7,35.87,2935.0,72.61,3.63,5
1.51,39.93,0.7,19.48,1594.0,57.71,2.89,5
1.69,42.33,0.7,21.83,1786.0,59.84,2.99,5
2.22,49.35,0.7,28.7,2348.0,66.09,3.3,5
2.63,54.81,0.7,34.04,2785.0,70.94,3.55,5
2.18,48.91,0.7,28.27,2313.0,65.7,3.29,5
1.54,40.39,0.7,19.93,1631.0,58.12,2.91,5
1.64,41.66,0.7,21.18,1733.0,59.26,2.96,5
2.38,51.54,0.7,30.84,2523.0,68.03,3.4,5
1.87,44.78,0.7,24.22,1982.0,62.02,3.1,5
2.43,52.14,0.7,31.42,2571.0,68.57,3.43,5
1.61,41.26,0.7,20.79,1701.0,58.9,2.95,5
1.88,44.94,0.7,24.38,1995.0,62.17,3.11,5
2.43,52.14,0.7,31.42,2571.0,68.57,3.43,5
1.77,43.45,0.7,22.93,1876.0,60.84,3.04,5
2.32,50.73,0.7,30.04,2458.0,67.31,3.37,5
3.01,59.79,0.7,38.9,3183.0,75.37,3.77,5
1.48,39.55,0.7,19.12,1564.0,57.38,2.87,5
2.04,46.98,0.7,26.38,2158.0,63.98,3.2,5
1.72,42.74,0.7,22.23,1819.0,60.21,3.01,5
2.09,47.69,0.7,27.07,2215.0,64.61,3.23,5
1.5,39.9,0.7,19.46,1592.0,57.69,2.88,5
2.76,56.58,0.7,35.76,2926.0,72.51,3.63,5
2.19,48.96,0.7,28.32,2317.0,65.74,3.29,5
3.21,62.44,0.7,41.49,3395.0,77.72,3.89,5
2.08,47.49,0.7,26.88,2199.0,64.43,3.22,5
2.81,57.23,0.7,36.4,2978.0,73.09,3.65,5
1.2,35.9,0.7,15.55,1272.0,54.13,2.71,5
3.14,61.55,0.7,40.63,3324.0,76.93,3.85,5
3.23,62.69,0.7,41.74,3415.0,77.94,3.9,5
1.79,43.71,0.7,23.19,1897.0,61.08,3.05,5
1.39,38.38,0.7,17.97,1470.0,56.33,2.82,5
3.08,60.81,0.7,39.91,3265.0,76.28,3.81,5
2.56,53.88,0.7,33.12,2710.0,70.11,3.51,5
3.12,61.35,0.7,40.43,3308.0,76.76,3.84,5
1.21,35.95,0.7,15.6,1276.0,54.18,2.71,5
1.26,36.61,0.7,16.24,1329.0,54.77,2.74,5
1.62,41.4,0.7,20.92,1712.0,59.02,2.95,5
3.15,61.68,0.7,40.75,3334.0,77.04,3.85,5
2.44,52.29,0.7,31.57,2583.0,68.7,3.44,5
1.9,45.18,0.7,24.62,2014.0,62.38,3.12,5
2.21,49.29,0.7,28.64,2343.0,66.03,3.3,5
2.86,57.9,0.7,37.06,3032.0,73.69,3.68,5
3.07,60.68,0.7,39.77,3254.0,76.16,3.81,5
2.67,55.3,0.7,34.52,2824.0,71.38,3.57,5
2.94,58.98,0.7,38.11,3118.0,74.64,3.73,5
2.04,46.99,0.7,26.39,2159.0,63.99,3.2,5
1.53,40.23,0.7,19.78,1618.0,57.98,2.9,5
1.57,40.78,0.7,20.31,1662.0,58.47,2.92,5
2.43,52.1,0.7,31.39,2568.0,68.53,3.43,5
2.41,51.86,0.7,31.15,2549.0,68.32,3.42,5
2.56,53.9,0.7,33.15,2712.0,70.13,3.51,5
2.85,57.68,0.7,36.84,3014.0,73.49,3.67,5
2.56,53.84,0.7,33.09,2707.0,70.08,3.5,5
1.38,38.2,0.7,17.8,1456.0,56.18,2.81,5
1.93,45.55,0.7,24.98,2044.0,62.71,3.14,5
1.35,37.84,0.7,17.44,1427.0,55.86,2.79,5
1.94,45.66,0.7,25.09,2053.0,62.81,3.14,5
1.97,46.11,0.7,25.53,2089.0,63.21,3.16,5
1.81,44.0,0.7,23.47,1920.0,61.33,3.07,5
3.34,64.19,0.7,43.21,3535.0,79.28,3.96,5
2.49,52.91,0.7,32.18,2633.0,69.26,3.46,5
2.16,48.56,0.7,27.93,2285.0,65.39,3.27,5
3.03,60.06,0.7,39.17,3205.0,75.61,3.78,5
1.26,36.73,0.7,16.35,1338.0,54.87,2.74,5
1.67,42.09,0.7,21.6,1767.0,59.63,2.98,5
2.58,54.1,0.7,33.34,2728.0,70.31,3.52,5
3.19,62.18,0.7,41.24,3374.0,77.49,3.87,5
3.04,60.25,0.7,39.36,3220.0,75.78,3.79,5
1.95,45.79,0.7,25.21,2063.0,62.92,3.15,5
1.96,45.88,0.7,25.3,2070.0,63.0,3.15,5
1.46,39.39,0.7,18.96,1551.0,57.23,2.86,5
1.62,41.39,0.7,20.91,1711.0,59.01,2.95,5
2.1,47.76,0.7,27.15,2221.0,64.68,3.23,5
1.14,35.09,0.7,14.75,1207.0,53.41,2.67,5
2.55,53.8,0.7,33.05,2704.0,70.04,3.5,5
2.72,56.05,0.7,35.25,2884.0,72.04,3.6,5
3.25,63.03,0.7,42.07,3442.0,78.24,3.91,5
3.06,60.44,0.7,39.54,3235.0,75.94,3.8,5
2.72,55.98,0.7,35.18,2878.0,71.98,3.6,5
1.95,45.84,0.7,25.26,2067.0,62.97,3.15,5
2.21,49.31,0.7,28.66,2345.0,66.06,3.3,5
3.03,60.16,0.7,39.27,3213.0,75.7,3.79,5
2.92,58.6,0.7,37.74,3088.0,74.31,3.72,5
1.83,44.16,0.7,23.63,1933.0,61.48,3.07,5
3.13,61.44,0.7,40.52,3315.0,76.83,3.84,5
1.27,36.78,0.7,16.4,1342.0,54.91,2.75,5
1.16,35.33,0.7,14.98,1226.0,53.62,2.68,5
2.97,59.36,0.7,38.49,3149.0,74.99,3.75,5
3.13,61.36,0.7,40.44,3309.0,76.77,3.84,5
2.83,57.45,0.7,36.62,2996.0,73.29,3.66,5
2.7,55.76,0.7,34.97,2861.0,71.79,3.59,5
3.09,60.86,0.7,39.95,3269.0,76.32,3.82,5
1.99,46.34,0.7,25.75,2107.0,63.41,3.17,5
3.23,62.8,0.7,41.85,3424.0,78.04,3.9,5
1.22,36.19,0.7,15.83,1295.0,54.39,2.72,5
1.99,46.28,0.7,25.69,2102.0,63.36,3.17,5
1.48,39.63,0.7,19.19,1570.0,57.44,2.87,5
1.49,39.78,0.7,19.34,1582.0,57.58,2.88,5
2.2,49.11,0.7,28.47,2329.0,65.88,3.29,5
3.09,60.93,0.7,40.02,3274.0,76.38,3.82,5
2.91,58.45,0.7,37.6,3076.0,74.18,3.71,5
2.42,52.05,0.7,31.34,2564.0,68.49,3.42,5
1.14,35.1,0.7,14.76,1208.0,53.42,2.67,5
2.36,51.21,0.7,30.52,2497.0,67.74,3.39,5
1.28,36.94,0.7,16.56,1355.0,55.06,2.75,5
1.84,44.34,0.7,23.8,1947.0,61.63,3.08,5
2.25,49.78,0.7,29.11,2382.0,66.47,3.32,5
1.6,41.15,0.7,20.68,1692.0,58.8,2.94,5
1.38,38.3,0.7,17.89,1464.0,56.27,2.81,5
2.99,59.61,0.7,38.73,3169.0,75.21,3.76,5
1.81,43.9,0.7,23.37,1912.0,61.24,3.06,5
1.7,42.49,0.7,21.99,1799.0,59.99,3.0,5
2.81,57.21,0.7,36.39,2977.0,73.08,3.65,5
3.33,64.04,0.7,43.06,3523.0,79.14,3.96,5
1.86,44.63,0.7,24.08,1970.0,61.89,3.09,5
2.67,55.34,0.7,34.55,2827.0,71.41,3.57,5
1.2,35.9,0.7,15.55,1272.0,54.13,2.71,5
2.09,47.64,0.7,27.02,2211.0,64.57,3.23,5
2.71,55.81,0.7,35.02,2865.0,71.83,3.59,5
2.55,53.8,0.7,33.05,2704.0,70.04,3.5,5
3.23,62.79,0.7,41.84,3423.0,78.03,3.9,5
1.45,39.16,0.7,18.74,1533.0,57.03,2.85,5
1.76,43.26,0.7,22.75,1861.0,60.68,3.03,5
2.38,51.45,0.7,30.75,2516.0,67.96,3.4,5
2.71,55.81,0.7,35.02,2865.0,71.83,3.59,5
1.84,44.39,0.7,23.85,1951.0,61.68,3.08,5
1.69,42.36,0.7,21.87,1789.0,59.88,2.99,5
2.51,53.28,0.7,32.54,2662.0,69.58,3.48,5
1.29,37.05,0.7,16.67,1364.0,55.16,2.76,5
1.78,43.6,0.7,23.08,1888.0,60.98,3.05,5
2.77,56.7,0.7,35.88,2936.0,72.62,3.63,5
2.87,57.99,0.7,37.14,3039.0,73.77,3.69,5
2.56,53.89,0.7,33.13,2711.0,70.12,3.51,5
1.35,37.83,0.7,17.43,1426.0,55.84,2.79,5
1.94,45.71,0.7,25.14,2057.0,62.86,3.14,5
2.55,53.76,0.7,33.01,2701.0,70.01,3.5,5
2.6,54.4,0.7,33.64,2752.0,70.58,3.53,5
2.98,59.43,0.7,38.55,3154.0,75.04,3.75,5
3.02,59.94,0.7,39.05,3195.0,75.5,3.78,5
3.05,60.4,0.7,39.5,3232.0,75.91,3.8,5
1.38,38.28,0.7,17.87,1462.0,56.24,2.81,5
2.29,50.33,0.7,29.65,2426.0,66.96,3.35,5
1.79,43.65,0.7,23.12,1892.0,61.02,3.05,5
1.84,44.4,0.7,23.86,1952.0,61.69,3.08,5
2.2,49.08,0.7,28.43,2326.0,65.84,3.29,5
1.88,44.94,0.7,24.38,1995.0,62.17,3.11,5
2.37,51.34,0.7,30.64,2507.0,67.86,3.39,5
2.43,52.18,0.7,31.46,2574.0,68.6,3.43,5
2.52,53.36,0.7,32.62,2669.0,69.66,3.48,5
1.48,39.64,0.7,19.2,1571.0,57.46,2.87,5
2.52,53.4,0.7,32.66,2672.0,69.69,3.48,5
1.17,35.55,0.7,15.2,1244.0,53.82,2.69,5
3.14,61.56,0.7,40.64,3325.0,76.94,3.85,5
2.19,48.99,0.7,28.34,2319.0,65.77,3.29,5
2.98,59.41,0.7,38.54,3153.0,75.03,3.75,5
1.16,35.35,0.7,15.01,1228.0,53.64,2.68,5
2.23,49.53,0.7,28.87,2362.0,66.24,3.31,5
2.87,57.93,0.7,37.08,3034.0,73.71,3.69,5
3.03,60.1,0.7,39.21,3208.0,75.64,3.78,5
1.85,44.49,0.7,23.94,1959.0,61.77,3.09,5
1.54,40.34,0.7,19.89,1627.0,58.08,2.9,5
3.07,60.61,0.7,39.71,3249.0,76.1,3.81,5
2.85,57.71,0.7,36.87,3017.0,73.52,3.68,5
1.6,41.13,0.7,20.66,1690.0,58.78,2.94,5
3.08,60.76,0.7,39.86,3261.0,76.23,3.81,5
1.86,44.68,0.7,24.13,1974.0,61.93,3.1,5
3.25,62.99,0.7,42.03,3439.0,78.21,3.91,5
2.03,46.93,0.7,26.33,2154.0,63.93,3.2,5
2.99,59.53,0.7,38.65,3162.0,75.13,3.76,5
2.29,50.36,0.7,29.69,2429.0,66.99,3.35,5
1.62,41.4,0.7,20.92,1712.0,59.02,2.95,5
1.16,35.39,0.7,15.05,1231.0,53.68,2.68,5
2.78,56.75,0.7,35.93,2940.0,72.67,3.63,5
2.23,49.48,0.7,28.82,2358.0,66.2,3.31,5
2.63,54.86,0.7,34.09,2789.0,70.99,3.55,5
2.44,52.33,0.7,31.61,2586.0,68.73,3.44,5
2.5,53.09,0.7,32.35,2647.0,69.41,3.47,5
2.98,59.49,0.7,38.61,3159.0,75.1,3.76,5
2.47,52.63,0.7,31.9,2610.0,69.0,3.45,5
3.11,61.1,0.7,40.19,3288.0,76.53,3.83,5
3.13,61.38,0.7,40.46,3310.0,76.78,3.84,5
1.18,35.6,0.7,15.25,1248.0,53.87,2.69,5
1.15,35.21,0.7,14.87,1217.0,53.52,2.68,5
3.29,63.49,0.7,42.52,3479.0,78.66,3.93,5
2.35,51.05,0.7,30.36,2484.0,67.6,3.38,5
3.25,63.04,0.7,42.08,3443.0,78.26,3.91,5
3.36,64.44,0.7,43.45,3555.0,79.5,3.98,5
3.33,64.01,0.7,43.03,3521.0,79.12,3.96,5
2.57,53.95,0.7,33.2,2716.0,70.18,3.51,5
1.68,42.21,0.7,21.72,1777.0,59.74,2.99,5
3.04,60.26,0.7,39.37,3221.0,75.79,3.79,5
2.17,48.75,0.7,28.11,2300.0,65.56,3.28,5
3.3,63.7,0.7,42.73,3496.0,78.84,3.94,5
1.95,45.83,0.7,25.25,2066.0,62.96,3.15,5
2.63,54.79,0.7,34.01,2783.0,70.92,3.55,5
2.19,48.96,0.7,28.32,2317.0,65.74,3.29,5
1.56,40.7,0.7,20.24,1656.0,58.4,2.92,5
2.22,49.43,0.7,28.77,2354.0,66.16,3.31,5
3.27,63.25,0.7,42.29,3460.0,78.44,3.92,5
2.97,59.28,0.7,38.4,3142.0,74.91,3.75,5
1.51,39.93,0.7,19.48,1594.0,57.71,2.89,5
2.8,57.06,0.7,36.24,2965.0,72.94,3.65,5
1.63,41.51,0.7,21.03,1721.0,59.12,2.96,5
2.64,54.89,0.7,34.11,2791.0,71.01,3.55,5
3.23,62.8,0.7,41.85,3424.0,78.04,3.9,5
3.12,61.28,0.7,40.36,3302.0,76.69,3.83,5
1.54,40.43,0.7,19.97,1634.0,58.16,2.91,5
2.47,52.73,0.7,32.0,2618.0,69.09,3.45,5
2.21,49.19,0.7,28.54,2335.0,65.94,3.3,5
1.15,35.24,0.7,14.9,1219.0,53.54,2.68,5
1.73,42.91,0.7,22.4,1833.0,60.37,3.02,5
1.35,37.93,0.7,17.53,1434.0,55.93,2.8,5
2.5,53.11,0.7,32.38,2649.0,69.43,3.47,5
1.76,43.3,0.7,22.78,1864.0,60.71,3.04,5
2.2,49.08,0.7,28.43,2326.0,65.84,3.29,5
1.29,37.1,0.7,16.72,1368.0,55.2,2.76,5
1.54,40.38,0.7,19.92,1630.0,58.11,2.91,5
2.33,50.83,0.7,30.14,2466.0,67.4,3.37,5
1.17,35.49,0.7,15.14,1239.0,53.77,2.69,5
3.04,60.24,0.7,39.34,3219.0,75.77,3.79,5
3.01,59.78,0.7,38.89,3182.0,75.36,3.77,5
2.65,55.06,0.7,34.28,2805.0,71.17,3.56,5
3.34,64.21,0.7,43.23,3537.0,79.3,3.97,5
2.42,52.03,0.7,31.31,2562.0,68.47,3.42,5
2.62,54.61,0.7,33.84,2769.0,70.77,3.54,6
3.13,61.36,0.7,40.44,3309.0,76.77,3.84,6
2.25,49.78,0.7,29.11,2382.0,66.47,3.32,6
2.28,50.15,0.7,29.48,2412.0,66.8,3.34,6
1.26,36.71,0.7,16.34,1337.0,54.86,2.74,6
1.71,42.69,0.7,22.18,1815.0,60.17,3.01,6
2.5,53.05,0.7,32.32,2644.0,69.38,3.47,6
2.46,52.58,0.7,31.85,2606.0,68.96,3.45,6
2.73,56.16,0.7,35.36,2893.0,72.14,3.61,6
2.12,48.09,0.7,27.46,2247.0,64.97,3.25,6
2.32,50.71,0.7,30.03,2457.0,67.3,3.37,6
2.78,56.85,0.7,36.03,2948.0,72.76,3.64,6
2.84,57.59,0.7,36.75,3007.0,73.41,3.67,6
3.09,60.89,0.7,39.98,3271.0,76.34,3.82,6
2.68,55.43,0.7,34.64,2834.0,71.49,3.57,6
1.69,42.36,0.7,21.87,1789.0,59.88,2.99,6
1.36,38.04,0.7,17.64,1443.0,56.03,2.8,6
1.53,40.23,0.7,19.78,1618.0,57.98,2.9,6
1.76,43.34,0.7,22.82,1867.0,60.74,3.04,6
1.16,35.38,0.7,15.03,1230.0,53.67,2.68,6
1.18,35.6,0.7,15.25,1248.0,53.87,2.69,6
1.61,41.29,0.7,20.81,1703.0,58.92,2.95,6
1.19,35.79,0.7,15.44,1263.0,54.03,2.7,6
3.09,60.86,0.7,39.95,3269.0,76.32,3.82,6
1.65,41.84,0.7,21.35,1747.0,59.41,2.97,6
